TypeCode,TypeName,Category,AssetType,Manufacturer,ModelNumber,WarrantyDurationYears,ReplacementCostGBP,ExpectedLifeYears,DurationUnit,MaintenanceFreqMonths,Description,Material,Finish,SFG20Code,UniclassCode,RevitCategory,StingDiscCode,StingSysCode,StingFuncCode,StingProdCode,CostRateCode
SAN-01,WC - Close Coupled,Sanitary Equipment,Fixed,Generic,WC-CC-01,2,350,25,year,12,Close coupled WC suite,Vitreous China,Glazed,3-52-50,Ss_40_20_94,Plumbing Fixtures,P,SAN,SAN,WC,SNY
SAN-02,WC - Wall Hung,Sanitary Equipment,Fixed,Generic,WC-WH-01,2,500,25,year,12,Wall hung WC with concealed cistern,Vitreous China,Glazed,3-52-51,Ss_40_20_94,Plumbing Fixtures,P,SAN,SAN,WC,SNY
SAN-03,Wash Hand Basin,Sanitary Equipment,Fixed,Generic,WHB-01,2,250,25,year,12,Wall mounted wash hand basin,Vitreous China,Glazed,3-52-52,Ss_40_20_93,Plumbing Fixtures,P,SAN,SAN,WHB,SNY
SAN-04,Shower Unit,Sanitary Equipment,Fixed,Generic,SHR-01,2,800,20,year,12,Thermostatic shower with tray,Stainless Steel/Acrylic,Chrome/White,3-52-53,Ss_40_20_75,Plumbing Fixtures,P,SAN,SAN,SHR,SNY
SAN-05,Kitchen Sink,Sanitary Equipment,Fixed,Generic,SNK-01,2,400,25,year,12,Stainless steel kitchen sink unit,Stainless Steel,Brushed,3-52-54,Ss_40_20_76,Plumbing Fixtures,P,SAN,SAN,SNK,SNY
DB-01,Distribution Board - Single Phase,Electrical Equipment,Fixed,Generic,DB-SP-01,2,1200,30,year,12,Single phase distribution board 6-12 way,Steel,Powder Coated,3-54-10,Ss_60_40_23,Electrical Equipment,E,LV,PWR,DB,DB
DB-02,Distribution Board - Three Phase,Electrical Equipment,Fixed,Generic,DB-TP-01,2,2500,30,year,12,Three phase distribution board 12-24 way,Steel,Powder Coated,3-54-11,Ss_60_40_23,Electrical Equipment,E,LV,PWR,DB,DB
DB-03,Main Switchboard (MSB),Electrical Equipment,Fixed,Generic,MSB-01,5,15000,30,year,6,Main switchboard 400-800A,Steel,Powder Coated,3-54-12,Ss_60_40_23,Electrical Equipment,E,LV,PWR,MSB,DB
TRF-01,Transformer - Dry Type,Electrical Equipment,Fixed,Generic,TRF-DT-01,5,12000,30,year,12,Dry type transformer 500-2000kVA,Steel/Copper,Factory Finish,3-54-20,Ss_60_40_86,Electrical Equipment,E,LV,PWR,TRF,DB
UPS-01,UPS System,Electrical Equipment,Fixed,Generic,UPS-01,3,8000,15,year,6,Uninterruptible power supply 10-100kVA,Steel,Powder Coated,3-54-25,Ss_60_40_89,Electrical Equipment,E,LV,PWR,UPS,DB
GEN-01,Standby Generator,Electrical Equipment,Fixed,Generic,GEN-01,5,50000,25,year,3,Diesel standby generator 100-500kVA,Steel,Powder Coated,3-54-30,Ss_60_40_36,Electrical Equipment,E,LV,PWR,GEN,DB
LTG-01,Luminaire - LED Panel,Lighting Equipment,Fixed,Generic,LED-PNL-01,2,120,15,year,24,600x600 LED panel 30-40W,Aluminium/Acrylic,White,3-54-50,Ss_60_30_42,Lighting Fixtures,E,LV,LTG,LUM,LUM
LTG-02,Luminaire - LED Downlight,Lighting Equipment,Fixed,Generic,LED-DWN-01,2,80,15,year,24,Recessed LED downlight 10-20W,Aluminium,White/Brushed Chrome,3-54-51,Ss_60_30_42,Lighting Fixtures,E,LV,LTG,LUM,LUM
LTG-03,Luminaire - Emergency,Lighting Equipment,Fixed,Generic,EM-LTG-01,2,150,10,year,6,Emergency bulkhead with 3hr battery,Polycarbonate,White,3-54-52,Ss_60_30_42,Lighting Fixtures,E,LV,LTG,LUM,LUM
LTG-04,Luminaire - External,Lighting Equipment,Fixed,Generic,EXT-LTG-01,2,350,15,year,12,External LED wall/post light IP65,Aluminium,Anodised,3-54-53,Ss_60_30_42,Lighting Fixtures,E,LV,LTG,LUM,LUM
FA-01,Fire Alarm Panel,Fire Safety,Fixed,Generic,FA-PNL-01,3,5000,15,year,3,Analogue addressable fire alarm panel,Steel,Red RAL3000,3-56-10,Ss_60_10_30,Fire Alarm Devices,FP,FLS,FLS,FAP,FAD
FA-02,Smoke Detector - Optical,Fire Safety,Fixed,Generic,SD-OPT-01,1,50,10,year,12,Optical smoke detector with base,ABS Plastic,White,3-56-11,Ss_60_10_84,Fire Alarm Devices,FP,FLS,FLS,SD,FAD
FA-03,Heat Detector,Fire Safety,Fixed,Generic,HD-01,1,45,10,year,12,Rate of rise heat detector with base,ABS Plastic,White,3-56-12,Ss_60_10_84,Fire Alarm Devices,FP,FLS,FLS,HD,FAD
FA-04,Manual Call Point,Fire Safety,Fixed,Generic,MCP-01,1,35,15,year,12,Manual call point (break glass),ABS Plastic,Red,3-56-13,Ss_60_10_84,Fire Alarm Devices,FP,FLS,FLS,MCP,FAD
FA-05,Sounder / Beacon,Fire Safety,Fixed,Generic,SND-01,1,60,10,year,12,Fire alarm sounder/visual beacon,ABS Plastic,Red/White,3-56-14,Ss_60_10_84,Fire Alarm Devices,FP,FLS,FLS,SND,FAD
SPR-01,Sprinkler Head - Pendant,Fire Safety,Fixed,Generic,SPR-PND-01,1,25,30,year,12,Pendant sprinkler head K80 68°C,Brass,Chrome/White,3-56-20,Ss_60_10_84,Sprinklers,FP,FP,FLS,SPR,SPK
SPR-02,Sprinkler Head - Upright,Fire Safety,Fixed,Generic,SPR-UPR-01,1,25,30,year,12,Upright sprinkler head K80 68°C,Brass,Chrome,3-56-21,Ss_60_10_84,Sprinklers,FP,FP,FLS,SPR,SPK
EXT-01,Fire Extinguisher - CO2,Fire Safety,Moveable,Generic,FE-CO2-01,1,80,10,year,12,CO2 fire extinguisher 2kg,Steel,Red,3-56-30,Ss_25_30_33,Fire Alarm Devices,FP,FLS,FLS,EXT,FAD
EXT-02,Fire Extinguisher - Dry Powder,Fire Safety,Moveable,Generic,FE-DP-01,1,50,10,year,12,Dry powder fire extinguisher 6kg,Steel,Red,3-56-31,Ss_25_30_33,Fire Alarm Devices,FP,FLS,FLS,EXT,FAD
BMS-01,BMS Controller - DDC,Controls,Fixed,Generic,BMS-DDC-01,3,3000,15,year,12,DDC controller 16-32 I/O points,ABS/Metal,Factory Finish,3-58-10,Ss_60_40_14,Communication Devices,LV,COM,COM,BMS,DB
BMS-02,BMS Sensor - Temperature,Controls,Fixed,Generic,BMS-TMP-01,1,150,10,year,24,Room temperature sensor,ABS Plastic,White,3-58-11,Ss_60_40_14,Communication Devices,LV,COM,COM,SNS,DB
BMS-03,BMS Sensor - CO2,Controls,Fixed,Generic,BMS-CO2-01,1,300,8,year,12,CO2 sensor for demand ventilation,ABS Plastic,White,3-58-12,Ss_60_40_14,Communication Devices,LV,COM,COM,SNS,DB
ACC-01,Access Control Panel,Security,Fixed,Generic,ACC-PNL-01,3,4000,15,year,12,Access control door controller 4-door,Steel,Factory Finish,3-58-20,Ss_60_10_03,Security Devices,LV,SEC,SEC,ACC,DB
ACC-02,Card Reader,Security,Fixed,Generic,ACC-RDR-01,2,250,10,year,24,Proximity card reader IP65,ABS Plastic,Black/Grey,3-58-21,Ss_60_10_03,Security Devices,LV,SEC,SEC,RDR,DB
CCTV-01,CCTV Camera - Internal,Security,Fixed,Generic,CCTV-INT-01,2,500,10,year,12,Internal IP dome camera 4MP,Metal/Plastic,White,3-58-22,Ss_60_10_13,Security Devices,LV,SEC,SEC,CAM,DB
CCTV-02,CCTV Camera - External,Security,Fixed,Generic,CCTV-EXT-01,2,800,10,year,12,External IP bullet camera 4MP IP67,Metal,White,3-58-23,Ss_60_10_13,Security Devices,LV,SEC,SEC,CAM,DB
LFT-01,Passenger Lift,Vertical Transport,Fixed,Generic,LFT-PSG-01,5,80000,25,year,1,Passenger lift 8-person 1.0m/s,Steel/Glass,Stainless/Glass,3-50-80,Ss_70_80_47,Mechanical Equipment,M,GEN,GEN,LFT,AHU
LFT-02,Goods Lift,Vertical Transport,Fixed,Generic,LFT-GDS-01,5,60000,25,year,1,Goods lift 1000kg 0.5m/s,Steel,Powder Coated,3-50-81,Ss_70_80_47,Mechanical Equipment,M,GEN,GEN,LFT,AHU
ESC-01,Escalator,Vertical Transport,Fixed,Generic,ESC-01,5,120000,25,year,1,Escalator 600mm width 0.5m/s,Steel/Aluminium,Stainless,3-50-82,Ss_70_80_27,Mechanical Equipment,M,GEN,GEN,ESC,AHU
DR-01,Door - Single Leaf Internal,Architectural,Fixed,Generic,DR-SGL-01,1,350,30,year,24,Single leaf internal flush door,Timber,Painted/Laminate,3-50-90,Ss_25_10_25,Doors,A,ARC,ARC,DR,DOR
DR-02,Door - Double Leaf Internal,Architectural,Fixed,Generic,DR-DBL-01,1,600,30,year,24,Double leaf internal flush door,Timber,Painted/Laminate,3-50-91,Ss_25_10_25,Doors,A,ARC,ARC,DR,DOR
DR-03,Door - Fire Rated FD30,Architectural,Fixed,Generic,DR-FD30-01,1,500,30,year,12,FD30 fire rated door with closer,Timber/Steel,Painted,3-50-92,Ss_25_10_25,Doors,A,ARC,ARC,DR,DOR
DR-04,Door - Fire Rated FD60,Architectural,Fixed,Generic,DR-FD60-01,1,700,30,year,12,FD60 fire rated door with closer,Timber/Steel,Painted,3-50-93,Ss_25_10_25,Doors,A,ARC,ARC,DR,DOR
DR-05,Door - External,Architectural,Fixed,Generic,DR-EXT-01,1,1200,30,year,12,External entrance door aluminium,Aluminium/Glass,Anodised,3-50-94,Ss_25_10_25,Doors,A,ARC,ARC,DR,DOR
WIN-01,Window - Aluminium Frame,Architectural,Fixed,Generic,WIN-AL-01,2,800,30,year,24,Aluminium framed window double glazed,Aluminium/Glass,Anodised/Clear,3-50-95,Ss_25_10_95,Windows,A,ARC,ARC,WIN,WIN
WIN-02,Window - uPVC Frame,Architectural,Fixed,Generic,WIN-PVC-01,2,500,25,year,24,uPVC window double glazed,uPVC/Glass,White/Clear,3-50-96,Ss_25_10_95,Windows,A,ARC,ARC,WIN,WIN
FRN-01,Office Desk,Furniture,Moveable,Generic,DSK-01,1,400,15,year,0,Office desk 1600x800,MFC/Steel,Various,3-50-97,Ss_25_80_15,Furniture,A,ARC,ARC,FRN,FUR
FRN-02,Office Chair,Furniture,Moveable,Generic,CHR-OFC-01,1,350,10,year,0,Task chair with arms,Fabric/Steel/Nylon,Various,3-50-98,Ss_25_80_15,Furniture,A,ARC,ARC,FRN,FUR
DCT-01,Ductwork - Rectangular,HVAC Distribution,Fixed,Generic,DCT-REC-01,2,0,30,year,24,Rectangular galvanised steel ductwork,Galvanised Steel,Galvanised,3-50-73,Ss_55_70_21,Ducts,M,HVAC,SUP,DCT,DCT
DCT-02,Ductwork - Circular,HVAC Distribution,Fixed,Generic,DCT-CIR-01,2,0,30,year,24,Circular spiral ductwork,Galvanised Steel,Galvanised,3-50-74,Ss_55_70_21,Ducts,M,HVAC,SUP,DCT,DCT
PIP-01,Pipework - Copper,Plumbing Distribution,Fixed,Generic,PIP-CU-01,2,0,40,year,0,Copper pipework,Copper,Natural/Insulated,3-52-70,Ss_55_70_60,Pipes,P,DCW,DCW,PIP,PIP
PIP-02,Pipework - Steel,HVAC Distribution,Fixed,Generic,PIP-STL-01,2,0,30,year,0,Mild steel pipework for LTHW/CHW,Mild Steel,Painted/Insulated,3-50-75,Ss_55_70_60,Pipes,M,HVAC,SUP,PIP,PIP
CDT-01,Conduit - Steel,Electrical Distribution,Fixed,Generic,CDT-STL-01,2,0,40,year,0,Steel conduit 20-25mm,Steel,Galvanised,3-54-70,Ss_55_70_14,Conduits,E,LV,PWR,CDT,CDT
CTR-01,Cable Tray - Perforated,Electrical Distribution,Fixed,Generic,CTR-PRF-01,2,0,30,year,0,Perforated cable tray 300-600mm,Steel,Hot Dip Galvanised,3-54-71,Ss_55_70_10,Cable Trays,E,LV,PWR,CTR,CTR
AT-01,Air Terminal - Diffuser Square,HVAC Distribution,Fixed,Generic,AT-SQ-01,1,80,20,year,24,Square ceiling diffuser 600x600,Aluminium,White RAL9010,3-50-76,Ss_55_70_21,Air Terminals,M,HVAC,SUP,DIF,ATU
AT-02,Air Terminal - Linear Grille,HVAC Distribution,Fixed,Generic,AT-LIN-01,1,120,20,year,24,Linear slot diffuser,Aluminium,Anodised,3-50-77,Ss_55_70_21,Air Terminals,M,HVAC,SUP,GRL,ATU
AT-03,Air Terminal - Extract Grille,HVAC Distribution,Fixed,Generic,AT-EXT-01,1,60,20,year,24,Extract grille with damper,Aluminium,White RAL9010,3-50-78,Ss_55_70_21,Air Terminals,M,HVAC,EXT,GRL,ATU
FLV-01,Fire Damper,Fire Safety,Fixed,Generic,FD-01,2,250,25,year,12,Intumescent fire damper,Galvanised Steel,Galvanised,3-56-40,Ss_60_10_30,Duct Accessories,FP,FP,FLS,FDM,DCT
SMK-01,Smoke Damper,Fire Safety,Fixed,Generic,SMD-01,2,450,25,year,12,Motorised smoke control damper,Galvanised Steel,Galvanised,3-56-41,Ss_60_10_84,Duct Accessories,FP,FP,FLS,SDM,DCT
VLV-01,Valve - Isolation Gate,Plumbing Equipment,Fixed,Generic,VLV-GT-01,1,150,25,year,24,Gate valve brass/DZR,Brass/DZR,Natural,3-52-30,Ss_60_40_90,Pipe Accessories,P,DCW,DCW,VLV,PIP
VLV-02,Valve - Check/Non-Return,Plumbing Equipment,Fixed,Generic,VLV-NR-01,1,120,20,year,24,Spring check valve,Brass/Stainless,Natural,3-52-31,Ss_60_40_90,Pipe Accessories,P,DCW,DCW,VLV,PIP
VLV-03,Valve - Pressure Reducing,Plumbing Equipment,Fixed,Generic,VLV-PR-01,1,350,15,year,12,Pressure reducing valve,Bronze,Factory Finish,3-52-32,Ss_60_40_90,Pipe Accessories,P,DCW,DCW,VLV,PIP
VLV-04,Valve - Thermostatic Mixing,Plumbing Equipment,Fixed,Generic,VLV-TM-01,1,250,10,year,12,TMV3 thermostatic mixing valve,Brass/Chrome,Chrome,3-52-33,Ss_60_40_90,Pipe Accessories,P,DHW,DHW,VLV,PIP
MGS-MANIFOLD-O2,Medical Oxygen Manifold,Medical Gas,Fixed,Generic,MAN-O2-01,5,18000,20,year,6,Manifold for O2 cylinders or LOX (NFPA 99 Ch.5),Stainless Steel,N/A,3-MED-01,Pr_70_60_28,Mechanical Equipment,MG,MGAS-O2,SUP,MAN,MGS-MAN
MGS-VIE,Vacuum Insulated Evaporator (LOX),Medical Gas,Fixed,Generic,VIE-LOX-01,10,75000,30,year,12,Bulk LOX storage / vaporiser (HTM 02-01 Pt A),Stainless Steel,N/A,3-MED-01,Pr_70_60_28,Mechanical Equipment,MG,MGAS-O2,SUP,VIE,MGS-VIE
MGS-MA-PLT,Medical Air Plant,Medical Gas,Fixed,Generic,MA-PLT-01,3,55000,15,year,3,Duplex compressor + dryer + receiver,Painted Steel,N/A,3-MED-01,Pr_70_60_28,Mechanical Equipment,MG,MGAS-MA4,SUP,PLT,MGS-PLT
MGS-VAC-PLT,Medical Vacuum Plant,Medical Gas,Fixed,Generic,VAC-PLT-01,3,42000,15,year,3,Duplex vacuum pump + receiver + bacteriological filter,Painted Steel,N/A,3-MED-01,Pr_70_60_28,Mechanical Equipment,MG,MGAS-VAC,EXH,PLT,MGS-PLT
MGS-AGS-PLT,AGS Receiver Plant,Medical Gas,Fixed,Generic,AGS-PLT-01,3,32000,15,year,6,Anaesthetic gas scavenging receiver,Painted Steel,N/A,3-MED-01,Pr_70_60_28,Mechanical Equipment,MG,MGAS-AGS,EXH,PLT,MGS-PLT
MGS-ZVB,Zone Valve Box,Medical Gas,Fixed,Generic,ZVB-04,10,4500,20,year,12,Multi-gas zone valve box (BS EN ISO 7396-1),Painted Steel,Powder Coated,3-MED-02,Pr_70_60_28,Pipe Accessories,MG,MGAS-O2,SUP,ZVB,MGS-ZVB
MGS-AAP,Area Alarm Panel,Medical Gas,Fixed,Generic,AAP-04,5,3500,15,year,6,Multi-gas area alarm (NFPA 99 §5.1.9),ABS,N/A,3-MED-03,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-O2,SUP,AAP,MGS-AAP
MGS-MAP,Master Alarm Panel,Medical Gas,Fixed,Generic,MAP-08,5,5500,15,year,6,Master alarm panel for plant,ABS,N/A,3-MED-03,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-O2,SUP,MAP,MGS-MAP
MGS-TU-O2,Oxygen Terminal Unit,Medical Gas,Fixed,Generic,TU-O2,5,180,15,year,12,BS 5682 oxygen terminal,Brass,Chrome,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-O2,SUP,TU-O2,MGS-TU
MGS-TU-MA4,Medical Air 4-bar Terminal,Medical Gas,Fixed,Generic,TU-MA4,5,180,15,year,12,BS 5682 medical air terminal,Brass,Chrome,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-MA4,SUP,TU-MA4,MGS-TU
MGS-TU-MA7,Surgical Air 7-bar Terminal,Medical Gas,Fixed,Generic,TU-MA7,5,220,15,year,12,BS 5682 surgical air terminal,Brass,Chrome,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-MA7,SUP,TU-MA7,MGS-TU
MGS-TU-VAC,Medical Vacuum Terminal,Medical Gas,Fixed,Generic,TU-VAC,5,170,15,year,12,BS 5682 vacuum terminal,Brass,Chrome,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-VAC,EXH,TU-VAC,MGS-TU
MGS-TU-AGS,AGS Terminal,Medical Gas,Fixed,Generic,TU-AGS,5,150,15,year,12,AGS terminal,Brass,N/A,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-AGS,EXH,TU-AGS,MGS-TU
MGS-TU-N2O,Nitrous Oxide Terminal,Medical Gas,Fixed,Generic,TU-N2O,5,200,15,year,12,BS 5682 N2O terminal,Brass,Blue,3-MED-04,Pr_70_60_28,Plumbing Fixtures,MG,MGAS-N2O,SUP,TU-N2O,MGS-TU
CEQ-PEND-OR,Operating Room Pendant,Clinical Equipment,Fixed,Generic,PEND-OR-01,5,55000,15,year,6,OR ceiling pendant (gases + IT + power),Painted Steel,N/A,3-MED-10,Pr_75_50_29,Specialty Equipment,H,GEN,STD,CP-OR,CEQ-PEND
CEQ-PEND-ICU,ICU Pendant,Clinical Equipment,Fixed,Generic,PEND-ICU-01,5,42000,15,year,6,ICU column pendant,Painted Steel,N/A,3-MED-10,Pr_75_50_29,Specialty Equipment,H,GEN,STD,CP-ICU,CEQ-PEND
CEQ-PEND-ANES,Anaesthesia Boom,Clinical Equipment,Fixed,Generic,PEND-ANES-01,5,38000,15,year,6,Anaesthesia gas + power boom,Painted Steel,N/A,3-MED-10,Pr_75_50_29,Specialty Equipment,H,GEN,STD,CP-ANES,CEQ-PEND
CEQ-BHU,Bedhead Trunking,Clinical Equipment,Fixed,Generic,BHU-WARD-01,15,1800,25,year,12,Ward bedhead trunking (services),Aluminium,Painted,3-MED-11,Pr_75_50_29,Specialty Equipment,H,GEN,STD,BHP,CEQ-BHU
CEQ-SCRUB,Scrub Trough,Clinical Equipment,Fixed,Generic,SCRUB-2P,15,4500,25,year,6,Pre-operative two-place scrub trough,Stainless Steel,Brushed,3-MED-12,Pr_55_30_29,Plumbing Fixtures,H,GEN,STD,SCR,CEQ-SCRUB
CEQ-WD,Washer-Disinfector,Clinical Equipment,Fixed,Generic,WD-HSDU-01,5,38000,15,year,3,HSDU washer-disinfector (HBN 13),Stainless Steel,Brushed,3-MED-13,Pr_75_50_28,Medical Equipment,H,GEN,STD,WD,CEQ-WD
CEQ-AUTOCLAVE,Sterilizer,Clinical Equipment,Fixed,Generic,STZ-200L,5,72000,15,year,3,HSDU sterilizer / autoclave (HBN 13),Stainless Steel,Brushed,3-MED-14,Pr_75_50_28,Medical Equipment,H,GEN,STD,STZ,CEQ-STZ
CEQ-BPW,Bedpan Washer,Clinical Equipment,Fixed,Generic,BPW-01,8,5500,15,year,6,Bedpan washer / disinfector,Stainless Steel,Brushed,3-MED-15,Pr_55_30_29,Plumbing Fixtures,H,GEN,STD,BPW,CEQ-BPW
CEQ-MRI-15T,MRI Scanner 1.5T,Imaging,Fixed,Generic,MRI-15T,1,1100000,12,year,3,1.5 Tesla MRI,Composite,N/A,3-MED-20,Pr_75_50_28,Medical Equipment,H,GEN,STD,MRI,CEQ-IMG
CEQ-MRI-3T,MRI Scanner 3T,Imaging,Fixed,Generic,MRI-3T,1,2200000,12,year,3,3 Tesla MRI,Composite,N/A,3-MED-20,Pr_75_50_28,Medical Equipment,H,GEN,STD,MRI,CEQ-IMG
CEQ-CT-64,CT Scanner 64-slice,Imaging,Fixed,Generic,CT-64,1,650000,10,year,3,64-slice CT scanner,Composite,N/A,3-MED-21,Pr_75_50_28,Medical Equipment,H,GEN,STD,CT,CEQ-IMG
CEQ-XRAY-RAD,Radiographic X-ray,Imaging,Fixed,Generic,XR-RAD-01,1,180000,10,year,3,General radiography room equipment,Composite,N/A,3-MED-22,Pr_75_50_28,Medical Equipment,H,GEN,STD,XRY,CEQ-IMG
CEQ-FLR,Fluoroscopy Suite,Imaging,Fixed,Generic,FLR-01,1,420000,10,year,3,Fluoroscopy room equipment,Composite,N/A,3-MED-22,Pr_75_50_28,Medical Equipment,H,GEN,STD,FLR,CEQ-IMG
CEQ-LINAC,Linear Accelerator,Imaging,Fixed,Generic,LIN-XX,1,3500000,15,year,3,Megavoltage radiotherapy LINAC,Composite,N/A,3-MED-23,Pr_75_50_28,Medical Equipment,H,GEN,STD,LIN,CEQ-IMG
CEQ-PET,PET-CT Scanner,Imaging,Fixed,Generic,PET-CT-01,1,1850000,10,year,3,PET-CT combined scanner,Composite,N/A,3-MED-23,Pr_75_50_28,Medical Equipment,H,GEN,STD,PET,CEQ-IMG
CEQ-CATHLAB,Cardiac Cath Lab,Imaging,Fixed,Generic,CATHLAB-01,1,1200000,10,year,3,Cardiac catheterisation lab,Composite,N/A,3-MED-23,Pr_75_50_28,Medical Equipment,H,GEN,STD,CTH,CEQ-IMG
CEQ-DIAL-RO,Dialysis RO Plant,Renal,Fixed,Generic,RO-DIA-01,5,85000,15,year,1,Dialysis water RO plant (HBN 07-02),Painted Steel,N/A,3-MED-30,Pr_70_30_50,Medical Equipment,H,GEN,STD,RO-DIA,CEQ-DIAL
CEQ-DIAL-STAT,Dialysis Station,Renal,Fixed,Generic,DIAL-CHAIR-01,8,8500,12,year,3,Dialysis chair + monitor,Painted Steel,N/A,3-MED-31,Pr_75_50_28,Medical Equipment,H,GEN,STD,RO-DIA,CEQ-DIAL
CEQ-NCS,Nurse Call Station,Clinical Equipment,Fixed,Generic,NCS-WARD-01,8,650,15,year,12,Wall nurse-call station,ABS,N/A,3-MED-40,Pr_75_50_29,Nurse Call Devices,H,GEN,STD,NCS,CEQ-NCS
CEQ-AED,AED Cabinet,Clinical Equipment,Fixed,Generic,AED-CAB-01,8,1850,10,year,12,AED with cabinet,Composite,N/A,3-MED-41,Pr_75_50_29,Specialty Equipment,H,GEN,STD,AED,CEQ-AED
CEQ-PTS-STN,Pneumatic Tube Station,Clinical Equipment,Fixed,Generic,PTS-STN-01,5,3200,15,year,6,Pneumatic tube send/receive station,Painted Steel,N/A,3-MED-50,Pr_75_50_28,Specialty Equipment,H,GEN,STD,PTS,CEQ-PTS
